    12  NSUB
     5  LENTHETA
     3  LENETA
     1  Allow Gaussian Fit
     3  IDENGINE
     1  IFLAGFOCEHESS
     1  NORDERAGQ
     1  NUMPROCS 
     1  METHODblup 
    13  NDIGITblup 
     1  METHODlagl 
     7  NDIGITlagl 
  0.25311487E+01        1   1 THETA
  0.47493785E+00        2   1 THETA
  0.39189120E-01        3   1 THETA
  0.15787447E+00        4   1 THETA
  0.54520158E+00        1   1 EPS_STD_DEV
  0.29724477E+00        1   1 EPS_VARIANCE
  0.17495455E-01        1   1 OMEGA
  0.31785915E-01        2   1 OMEGA
  0.64527772E-01        2   2 OMEGA
  0.00000000E+00        3   1 OMEGA
  0.00000000E+00        3   2 OMEGA
  0.71252265E+00        3   3 OMEGA
  0.15170660E+03        1   1 -LOGLIKE
